current run,tick,total CO2 emitted to air,total CO2 stored,total costs to industry to store CO2,subsidy paid to pipeline,subsidy paid to companies,electricity used
0,0,4.598025280000001E7,0,0,0,0,0
0,1,4.5980252800000004E7,0,0,0,0,0
0,2,4.5980252800000004E7,0,0,0,0,0
0,3,4.5980252800000004E7,0,0,0,0,0
0,4,4.598025280000001E7,0,0,0,0,0
0,5,4.598025279999999E7,0,0,0,0,0
0,6,4.59802528E7,0,0,0,0,0
0,7,4.598025280000001E7,0,1433333.3333333333,0,1200515.3655875507,0
0,8,4.2980252800000004E7,3000000,1.960204761520506E8,21600000,2801202.5197042837,390000000
0,9,3.5980252800000004E7,10000000,6.166750792433984E8,21600000,2140517.88918282,1300000000
0,10,3.0980252799999997E7,15000000,8.861537260170808E8,21600000,7670874.396969216,1950000000
0,11,1.5980252800000004E7,30000000,1.6805078889562635E9,21600000,3563560.333503799,3900000000
0,12,9980252.800000003,36000000,1.9178691696006157E9,21600000,8831399.713526431,4680000000
0,13,9980252.8,36000000,1.828734902787252E9,0,1.815986064000302E7,4680000000
0,14,130252.80000000226,45850000,2.2069942252397747E9,21600000,0,5960500000
0,15,130252.80000000226,45850000,2.097989723501596E9,0,0,5960500000
0,16,130252.80000000226,45850000,1.9944354468503253E9,0,0,5960500000
0,17,130252.80000000226,45850000,1.8960588840316188E9,0,0,5960500000
0,18,130252.80000000226,45850000,1.8026011493538475E9,0,0,5960500000
0,19,130252.80000000226,45850000,1.7138163014099643E9,0,0,5960500000
0,20,130252.80000000226,45850000,1.6294706958632758E9,0,0,5960500000
0,21,130252.80000000226,45850000,1.5493423705939212E9,0,0,5960500000
0,22,130252.80000000226,45850000,1.4732204615880346E9,0,0,5960500000
0,23,130252.80000000226,45850000,1.400904648032442E9,0,0,5960500000
0,24,130252.80000000226,45850000,1.33220462515463E9,0,0,5960500000
0,25,130252.80000000226,45850000,1.2669396034207075E9,0,0,5960500000
0,26,130252.80000000226,45850000,1.2049378327734818E9,0,0,5960500000
0,27,130252.80000000226,45850000,1.1460361506586173E9,0,0,5960500000
0,28,130252.80000000226,45850000,1.0900795526494956E9,0,0,5960500000
0,29,130252.80000000226,45850000,1.0369207845408305E9,0,0,5960500000
0,30,130252.80000000226,45850000,9.86419954837598E8,0,0,5960500000
0,31,130252.80000000226,45850000,9.384441666195279E8,0,0,5960500000
